field,value
model,RNN-DIFF
model_kind,rnn_diffusion
checkpoint_name,forecast-nocontext-rnn-diffusion__freq-1H__hor-24h__ctx-0__seq-24__seed-0__mode-nocontext_core.pt
checkpoint_path,E:\Desktop\UNSW\Thesis\Project\sorted\checkpoints\generative\forecast-nocontext-rnn-diffusion__freq-1H__hor-24h__ctx-0__seq-24__seed-0__mode-nocontext_core.pt
exported_at,2026-08-02T10:29:23
FREQ,1H
PRIMARY_HORIZON,24h
CONTEXT_LEN,0
SEQ_LEN,24
WINDOW_STRIDE,24
EVAL_POOL,validation
PLOT_N,512
EVAL_SEED,10123
SAMPLES,200
EVAL_BATCH_SIZE,64
quantiles,"[0.1, 0.5, 0.9]"
ALPHA_PI,0.2
interval_percent,80.0
elapsed_seconds,395.6466944999993
point_forecast_for_mae_peak_kl_dtw,q0.50
point_forecast_for_rmse,sample mean
,
metric,value
KL_hist,0.25275372798041595
DTW_mean,8.30817636847496
MAE_median,0.5115816593170166
RMSE_mean,0.9158016558334028
PeakMAE,1.3668636083602905
QuantileLoss,0.18869918584823608
Winkler,3.10306715965271
